timestamp,price
2025-09-21T20:53:39.201789+00:00,115378.08
2025-09-21T20:53:41.468129+00:00,115378.08
2025-09-21T20:53:43.724617+00:00,115378.08
2025-09-21T20:53:45.992175+00:00,115378.08
2025-09-21T20:53:48.272730+00:00,115378.08
2025-09-21T20:53:50.525854+00:00,115378.07
2025-09-21T20:53:52.782106+00:00,115378.07
2025-09-21T20:53:55.038028+00:00,115378.07
2025-09-21T20:53:57.296186+00:00,115378.08
2025-09-21T20:53:59.561787+00:00,115378.08
2025-09-21T20:54:01.816462+00:00,115378.07
2025-09-21T20:54:04.072640+00:00,115378.07
2025-09-21T20:54:06.329629+00:00,115378.08
2025-09-21T20:54:08.593088+00:00,115378.08
2025-09-21T20:54:10.844409+00:00,115378.07
2025-09-21T20:54:13.107994+00:00,115378.07
2025-09-21T20:54:15.363812+00:00,115378.07
2025-09-21T20:54:17.623209+00:00,115378.07
2025-09-21T20:54:19.883737+00:00,115378.08
2025-09-21T20:54:22.145447+00:00,115378.08
2025-09-21T20:54:24.415111+00:00,115378.08
2025-09-21T20:54:26.670237+00:00,115378.08
2025-09-21T20:54:28.925570+00:00,115378.08
2025-09-21T20:54:31.178684+00:00,115378.07
2025-09-21T20:54:33.432722+00:00,115378.08
2025-09-21T20:54:35.699350+00:00,115378.08
2025-09-21T20:54:37.961346+00:00,115378.08
2025-09-21T20:54:40.259043+00:00,115370.11
2025-09-21T20:54:42.523714+00:00,115370.10
2025-09-21T20:54:44.782929+00:00,115370.11
2025-09-21T20:54:47.058319+00:00,115370.10
2025-09-21T20:54:49.315761+00:00,115370.11
2025-09-21T20:54:51.570773+00:00,115370.10
2025-09-21T20:54:53.830065+00:00,115370.10
2025-09-21T20:54:56.084567+00:00,115370.10
2025-09-21T20:54:58.339067+00:00,115370.10
2025-09-21T20:55:00.587515+00:00,115370.10
2025-09-21T20:55:02.852928+00:00,115370.11
2025-09-21T20:55:05.115881+00:00,115370.11
2025-09-21T20:55:07.367080+00:00,115370.10
2025-09-21T20:55:09.628412+00:00,115370.10
2025-09-21T20:55:11.890929+00:00,115370.10
2025-09-21T20:55:14.152022+00:00,115370.10
2025-09-21T20:55:16.408490+00:00,115370.10
2025-09-21T20:55:18.691382+00:00,115370.11
